,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
593,173.27.225.118,172.31.0.2,53.0,13603.0,0.097876
595,173.27.225.118,172.31.0.2,53.0,1682.0,0.000295
597,173.27.225.118,172.31.0.2,53.0,57322.0,0.00032
599,173.27.225.118,172.31.0.2,53.0,34306.0,0.000257
601,173.27.225.118,172.31.0.2,53.0,53014.0,0.000393
603,173.27.225.118,172.31.0.2,53.0,22281.0,0.000966
605,173.27.225.118,172.31.0.2,53.0,12316.0,0.001137
607,173.27.225.118,172.31.0.2,53.0,33685.0,0.00027
609,173.27.225.118,172.31.0.2,53.0,20040.0,0.001031
611,173.27.225.118,172.31.0.2,53.0,17940.0,0.002262
613,173.27.225.118,172.31.0.2,53.0,58363.0,0.000348
615,173.27.225.118,172.31.0.2,53.0,37686.0,0.00105
617,173.27.225.118,172.31.0.2,53.0,17726.0,0.002467
619,173.27.225.118,172.31.0.2,53.0,44838.0,0.072425
621,173.27.225.118,172.31.0.2,53.0,10649.0,0.00043
623,173.27.225.118,172.31.0.2,53.0,47792.0,0.036796
625,173.27.225.118,172.31.0.2,53.0,54180.0,0.012686
629,173.27.225.118,172.31.0.2,53.0,26178.0,0.024663
630,173.27.225.118,172.31.0.2,53.0,29703.0,0.023494
631,173.27.225.118,172.31.0.2,53.0,13037.0,0.02622
633,173.27.225.118,172.31.0.2,53.0,54841.0,0.000895
635,173.27.225.118,172.31.0.2,53.0,52110.0,0.000775
637,173.27.225.118,172.31.0.2,53.0,10940.0,0.003019
639,173.27.225.118,172.31.0.2,53.0,51276.0,0.005312
641,173.27.225.118,172.31.0.2,53.0,12009.0,0.003949
643,173.27.225.118,172.31.0.2,53.0,9610.0,0.000275
645,173.27.225.118,172.31.0.2,53.0,59485.0,0.000872
647,173.27.225.118,172.31.0.2,53.0,2587.0,0.012591
649,173.27.225.118,172.31.0.2,53.0,16231.0,0.002641
651,173.27.225.118,172.31.0.2,53.0,36453.0,0.001234
653,173.27.225.118,172.31.0.2,53.0,59521.0,0.000712
655,173.27.225.118,172.31.0.2,53.0,54122.0,0.049625
657,173.27.225.118,172.31.0.2,53.0,43741.0,0.055064
659,173.27.225.118,172.31.0.2,53.0,21741.0,0.012774
661,173.27.225.118,172.31.0.2,53.0,54593.0,0.145362
663,173.27.225.118,172.31.0.2,53.0,48688.0,0.000858
665,173.27.225.118,172.31.0.2,53.0,25493.0,0.000817
667,173.27.225.118,172.31.0.2,53.0,4932.0,0.064046
669,173.27.225.118,172.31.0.2,53.0,26919.0,0.000397
671,173.27.225.118,172.31.0.2,53.0,53920.0,0.000423
673,173.27.225.118,172.31.0.2,53.0,64019.0,0.036316
675,173.27.225.118,172.31.0.2,53.0,3014.0,0.000401
677,173.27.225.118,172.31.0.2,53.0,44189.0,0.000379
679,173.27.225.118,172.31.0.2,53.0,4763.0,0.075874
681,173.27.225.118,172.31.0.2,53.0,46644.0,0.000951
683,173.27.225.118,172.31.0.2,53.0,1050.0,0.000355
685,173.27.225.118,172.31.0.2,53.0,24810.0,0.002553
687,173.27.225.118,172.31.0.2,53.0,48140.0,0.000335
690,173.27.225.118,172.31.0.2,53.0,9374.0,0.039485
691,173.27.225.118,172.31.0.2,53.0,55129.0,0.037855
695,173.27.225.118,172.31.0.2,53.0,27687.0,0.032438
696,173.27.225.118,172.31.0.2,53.0,39577.0,0.008507
697,173.27.225.118,172.31.0.2,53.0,20641.0,0.081814
699,173.27.225.118,172.31.0.2,53.0,62009.0,0.000283
701,173.27.225.118,172.31.0.2,53.0,15789.0,0.000317
703,173.27.225.118,172.31.0.2,53.0,63621.0,0.000315
705,173.27.225.118,172.31.0.2,53.0,20464.0,0.00039
707,173.27.225.118,172.31.0.2,53.0,8186.0,0.000374
709,173.27.225.118,172.31.0.2,53.0,1579.0,0.061055
711,173.27.225.118,172.31.0.2,53.0,23260.0,0.081273
713,173.27.225.118,172.31.0.2,53.0,46680.0,0.018866
715,173.27.225.118,172.31.0.2,53.0,18361.0,0.000783
717,173.27.225.118,172.31.0.2,53.0,18828.0,0.000374
719,173.27.225.118,172.31.0.2,53.0,18871.0,0.000326
721,173.27.225.118,172.31.0.2,53.0,4049.0,0.000279
723,173.27.225.118,172.31.0.2,53.0,36065.0,0.002154
